169
a CL CD CL_slope CD_slope
-16.200000 -1.071600 0.079280 -9.129128 -2.379923
-16.000000 -1.102400 0.071150 -8.334149 -2.262228
-15.800000 -1.129300 0.063510 -7.109451 -2.131642
-15.600000 -1.151800 0.056300 -5.708092 -1.983150
-15.400000 -1.169000 0.049770 -4.134845 -1.728184
-15.200000 -1.180900 0.044300 -2.802719 -1.413057
-15.000000 -1.188900 0.039900 -1.795268 -1.107241
-14.800000 -1.193600 0.036530 -0.892859 -0.835325
-14.600000 -1.195400 0.033990 -0.241120 -0.637654
-14.400000 -1.195500 0.032010 0.212472 -0.500383
-14.200000 -1.194000 0.030450 0.623092 -0.401787
-14.000000 -1.191300 0.029170 0.890472 -0.333270
-13.800000 -1.187900 0.028100 0.974028 -0.283375
-13.600000 -1.184000 0.027170 1.616218 -0.252101
-13.400000 -1.176400 0.026320 2.499528 -0.240404
-13.200000 -1.167000 0.025490 2.864789 -0.228228
-13.000000 -1.156600 0.024730 3.077261 -0.211756
-12.800000 -1.145600 0.024010 3.230050 -0.198387
-12.600000 -1.134100 0.023350 3.335092 -0.179527
-12.400000 -1.122300 0.022760 3.573824 -0.148014
-12.200000 -1.109900 0.022250 2.996092 -0.189315
-12.000000 -1.101700 0.021410 1.969542 -0.269768
-11.800000 -1.094800 0.020480 2.466106 -0.221782
-11.600000 -1.084000 0.019900 3.411486 -0.138226
-11.400000 -1.071600 0.019460 3.619183 -0.120082
-11.200000 -1.059000 0.019040 3.609634 -0.118411
-11.000000 -1.046400 0.018630 3.635895 -0.117695
-10.800000 -1.033600 0.018220 3.674092 -0.114830
-10.600000 -1.020700 0.017830 3.666930 -0.110294
-10.400000 -1.007300 0.017450 4.299571 -0.102177
-10.200000 -0.989600 0.017090 6.209430 -0.117456
-10.000000 -0.964900 0.016580 6.992472 -0.198387
-9.800000 -0.941600 0.015790 6.928015 -0.183108
-9.600000 -0.916200 0.015360 7.398318 -0.105281
-9.400000 -0.890200 0.015000 7.539170 -0.098119
-9.200000 -0.863600 0.014670 7.756416 -0.085705
-9.000000 -0.836600 0.014380 7.362508 -0.092628
-8.800000 -0.812300 0.013990 6.825360 -0.142523
